Year,Month,Day,Hour,Minute,Omni-Directional Wave Power,Peak Period,Significant Wave Height,,Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Energy Period,Maximum Energy Direction,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Directional Wave Spectrum,Version
2010,1,1,0,0,1028.248779,5.268703938,0.609209955,,DOE-WPTO US Wave dataset,124,b'Federal',40.93,-72,0,-5,8032.294,s,deg,deg,s,W/m,s,m,-,28,W/m/hz/deg (hz;Degrees),v1.0.0
2010,1,1,1,0,927.1593628,4.807692051,0.57789731,,,,,,,,,,,,,,,,,,,,
2010,1,1,2,0,848.4096069,4.807692051,0.551156223,,,,,,,,,,,,,,,,,,,,
2010,1,1,3,0,833.2666016,4.807692051,0.537232518,,,,,,,,,,,,,,,,,,,,
2010,1,1,4,0,1023.993896,9.124087334,0.56181258,,,,,,,,,,,,,,,,,,,,
2010,1,1,5,0,1709.624023,9.124087334,0.668538868,,,,,,,,,,,,,,,,,,,,
2010,1,1,6,0,3076.349365,9.124087334,0.854677141,,,,,,,,,,,,,,,,,,,,
2010,1,1,7,0,4828.702637,8.326395035,1.054493904,,,,,,,,,,,,,,,,,,,,
2010,1,1,8,0,6358.687988,8.326395035,1.208320737,,,,,,,,,,,,,,,,,,,,
2010,1,1,9,0,7304.882324,8.326395035,1.299453616,,,,,,,,,,,,,,,,,,,,
2010,1,1,10,0,7729.760254,8.326395035,1.34277308,,,,,,,,,,,,,,,,,,,,
2010,1,1,11,0,7875.288086,8.326395035,1.360827446,,,,,,,,,,,,,,,,,,,,
2010,1,1,12,0,7916.27832,8.326395035,1.367617846,,,,,,,,,,,,,,,,,,,,
2010,1,1,13,0,7915.179688,8.326395035,1.368841529,,,,,,,,,,,,,,,,,,,,
2010,1,1,14,0,7879.535156,8.326395035,1.36625731,,,,,,,,,,,,,,,,,,,,
2010,1,1,15,0,7808.710449,8.326395035,1.360658288,,,,,,,,,,,,,,,,,,,,
2010,1,1,16,0,7722.344238,8.326395035,1.353122592,,,,,,,,,,,,,,,,,,,,
2010,1,1,17,0,7657.820313,8.326395035,1.346084595,,,,,,,,,,,,,,,,,,,,
2010,1,1,18,0,7654.790039,8.326395035,1.34251833,,,,,,,,,,,,,,,,,,,,
2010,1,1,19,0,7734.245117,8.326395035,1.34429872,,,,,,,,,,,,,,,,,,,,
2010,1,1,20,0,7896.023438,8.326395035,1.351894617,,,,,,,,,,,,,,,,,,,,
2010,1,1,21,0,8115.788086,8.326395035,1.363864422,,,,,,,,,,,,,,,,,,,,
2010,1,1,22,0,8359.499023,8.326395035,1.378130794,,,,,,,,,,,,,,,,,,,,
2010,1,1,23,0,8578.326172,8.326395035,1.391085863,,,,,,,,,,,,,,,,,,,,
2010,1,2,0,0,8725.526367,8.326395035,1.399722099,,,,,,,,,,,,,,,,,,,,
2010,1,2,1,0,8759.592773,8.326395035,1.400996208,,,,,,,,,,,,,,,,,,,,
2010,1,2,2,0,8662.320313,8.326395035,1.393677592,,,,,,,,,,,,,,,,,,,,
2010,1,2,3,0,8436.655273,8.326395035,1.377402067,,,,,,,,,,,,,,,,,,,,
2010,1,2,4,0,8109.140625,8.326395035,1.353896976,,,,,,,,,,,,,,,,,,,,
2010,1,2,5,0,7716.511719,8.326395035,1.324890256,,,,,,,,,,,,,,,,,,,,
2010,1,2,6,0,7300.614746,8.326395035,1.293169856,,,,,,,,,,,,,,,,,,,,
2010,1,2,7,0,6898.142578,8.326395035,1.261287451,,,,,,,,,,,,,,,,,,,,
2010,1,2,8,0,6533.377441,8.326395035,1.230945826,,,,,,,,,,,,,,,,,,,,
2010,1,2,9,0,6218.719238,8.326395035,1.20325458,,,,,,,,,,,,,,,,,,,,
2010,1,2,10,0,5947.822754,8.326395035,1.177947164,,,,,,,,,,,,,,,,,,,,
2010,1,2,11,0,5693.676758,8.326395035,1.152463078,,,,,,,,,,,,,,,,,,,,
2010,1,2,12,0,5417.924805,8.326395035,1.123327971,,,,,,,,,,,,,,,,,,,,
2010,1,2,13,0,5106.539063,8.326395035,1.091598988,,,,,,,,,,,,,,,,,,,,
2010,1,2,14,0,4798.87793,8.326395035,1.067258358,,,,,,,,,,,,,,,,,,,,
2010,1,2,15,0,4478.787109,8.326395035,1.045214295,,,,,,,,,,,,,,,,,,,,
2010,1,2,16,0,4114.799316,8.326395035,1.011551261,,,,,,,,,,,,,,,,,,,,
2010,1,2,17,0,3790.276611,8.326395035,0.977768779,,,,,,,,,,,,,,,,,,,,
2010,1,2,18,0,3573.873535,8.326395035,0.959166944,,,,,,,,,,,,,,,,,,,,
2010,1,2,19,0,3456.547119,8.326395035,0.952436805,,,,,,,,,,,,,,,,,,,,
2010,1,2,20,0,3489.516357,8.326395035,0.981593728,,,,,,,,,,,,,,,,,,,,
2010,1,2,21,0,3647.202393,8.326395035,1.04334867,,,,,,,,,,,,,,,,,,,,
2010,1,2,22,0,3896.580566,8.326395035,1.140432358,,,,,,,,,,,,,,,,,,,,
2010,1,2,23,0,4330.753418,8.326395035,1.285429597,,,,,,,,,,,,,,,,,,,,
2010,1,3,0,0,4869.264648,4.38596487,1.395952225,,,,,,,,,,,,,,,,,,,,
2010,1,3,1,0,5581.07959,6.325110912,1.488679051,,,,,,,,,,,,,,,,,,,,
2010,1,3,2,0,6389.555176,6.325110912,1.571279407,,,,,,,,,,,,,,,,,,,,
2010,1,3,3,0,7383.19873,6.934813023,1.66802299,,,,,,,,,,,,,,,,,,,,
2010,1,3,4,0,8284.566406,7.59878397,1.753322363,,,,,,,,,,,,,,,,,,,,
2010,1,3,5,0,10625.99902,7.59878397,2.053708076,,,,,,,,,,,,,,,,,,,,
2010,1,3,6,0,12400.76074,7.59878397,2.152284384,,,,,,,,,,,,,,,,,,,,
2010,1,3,7,0,15945.87891,7.59878397,2.452753782,,,,,,,,,,,,,,,,,,,,
2010,1,3,8,0,20153.80859,7.59878397,2.723328352,,,,,,,,,,,,,,,,,,,,
2010,1,3,9,0,24026.3457,7.59878397,2.909604311,,,,,,,,,,,,,,,,,,,,
2010,1,3,10,0,26490.07422,8.326395035,2.997747421,,,,,,,,,,,,,,,,,,,,
2010,1,3,11,0,27477.51367,8.326395035,3.006039858,,,,,,,,,,,,,,,,,,,,
2010,1,3,12,0,26918.26172,8.326395035,2.924264431,,,,,,,,,,,,,,,,,,,,
2010,1,3,13,0,24820.30469,8.326395035,2.745092392,,,,,,,,,,,,,,,,,,,,
2010,1,3,14,0,22111.05078,8.326395035,2.559265852,,,,,,,,,,,,,,,,,,,,
2010,1,3,15,0,19142.70117,9.124087334,2.363451481,,,,,,,,,,,,,,,,,,,,
