Year,Month,Day,Hour,Minute,Omni-Directional Wave Power,Peak Period,Significant Wave Height,,Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Energy Period,Maximum Energy Direction,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Directional Wave Spectrum,Version
2010,1,1,0,0,3733.233887,12.01923084,1.041512966,,DOE-WPTO US Wave dataset,18,b'Federal',41.098,-66.619,0,-4,260608.92,s,deg,deg,s,W/m,s,m,-,84,W/m/hz/deg (hz;Degrees),v1.0.0
2010,1,1,1,0,4607.407715,12.01923084,1.263758063,,,,,,,,,,,,,,,,,,,,
2010,1,1,2,0,5596.026855,12.01923084,1.428019166,,,,,,,,,,,,,,,,,,,,
2010,1,1,3,0,5708.088379,4.38596487,1.409748912,,,,,,,,,,,,,,,,,,,,
2010,1,1,4,0,5745.066406,12.01923084,1.375525236,,,,,,,,,,,,,,,,,,,,
2010,1,1,5,0,6365.058105,12.01923084,1.411801577,,,,,,,,,,,,,,,,,,,,
2010,1,1,6,0,7993.42334,12.01923084,1.537445188,,,,,,,,,,,,,,,,,,,,
2010,1,1,7,0,10825.07715,8.326395035,1.736942172,,,,,,,,,,,,,,,,,,,,
2010,1,1,8,0,14365.59277,8.326395035,1.951851845,,,,,,,,,,,,,,,,,,,,
2010,1,1,9,0,17664.66602,9.124087334,2.125418663,,,,,,,,,,,,,,,,,,,,
2010,1,1,10,0,20115.21484,9.124087334,2.243293285,,,,,,,,,,,,,,,,,,,,
2010,1,1,11,0,21788.62695,9.124087334,2.324276447,,,,,,,,,,,,,,,,,,,,
2010,1,1,12,0,23034.14453,9.124087334,2.388056755,,,,,,,,,,,,,,,,,,,,
2010,1,1,13,0,24031.18945,9.124087334,2.441320181,,,,,,,,,,,,,,,,,,,,
2010,1,1,14,0,24780.13672,9.124087334,2.485004187,,,,,,,,,,,,,,,,,,,,
2010,1,1,15,0,25328.71289,9.124087334,2.527979136,,,,,,,,,,,,,,,,,,,,
2010,1,1,16,0,25775.80078,9.124087334,2.559693575,,,,,,,,,,,,,,,,,,,,
2010,1,1,17,0,26290.04883,9.124087334,2.575340033,,,,,,,,,,,,,,,,,,,,
2010,1,1,18,0,27070.21289,9.124087334,2.58497262,,,,,,,,,,,,,,,,,,,,
2010,1,1,19,0,28228.95703,9.124087334,2.612133741,,,,,,,,,,,,,,,,,,,,
2010,1,1,20,0,29450.74023,9.124087334,2.64811945,,,,,,,,,,,,,,,,,,,,
2010,1,1,21,0,30392.29492,9.124087334,2.683313608,,,,,,,,,,,,,,,,,,,,
2010,1,1,22,0,30866.01172,9.124087334,2.706782579,,,,,,,,,,,,,,,,,,,,
2010,1,1,23,0,30875.28516,9.124087334,2.709700108,,,,,,,,,,,,,,,,,,,,
2010,1,2,0,0,30739.66211,9.124087334,2.707241297,,,,,,,,,,,,,,,,,,,,
2010,1,2,1,0,30882.00977,9.124087334,2.719478846,,,,,,,,,,,,,,,,,,,,
2010,1,2,2,0,32189.05078,9.124087334,2.798656225,,,,,,,,,,,,,,,,,,,,
2010,1,2,3,0,35177.53906,9.124087334,2.962844372,,,,,,,,,,,,,,,,,,,,
2010,1,2,4,0,38759.82422,9.124087334,3.119003773,,,,,,,,,,,,,,,,,,,,
2010,1,2,5,0,42163.41406,9.124087334,3.241201639,,,,,,,,,,,,,,,,,,,,
2010,1,2,6,0,43894.63672,9.124087334,3.287311554,,,,,,,,,,,,,,,,,,,,
2010,1,2,7,0,44645.46484,9.124087334,3.30520606,,,,,,,,,,,,,,,,,,,,
2010,1,2,8,0,45300.92969,9.124087334,3.331719398,,,,,,,,,,,,,,,,,,,,
2010,1,2,9,0,45713.69531,9.124087334,3.352696419,,,,,,,,,,,,,,,,,,,,
2010,1,2,10,0,46236.07031,9.124087334,3.383276701,,,,,,,,,,,,,,,,,,,,
2010,1,2,11,0,47355.57813,9.124087334,3.435477257,,,,,,,,,,,,,,,,,,,,
2010,1,2,12,0,48827.16406,9.124087334,3.485664368,,,,,,,,,,,,,,,,,,,,
2010,1,2,13,0,50182.96484,9.124087334,3.520348787,,,,,,,,,,,,,,,,,,,,
2010,1,2,14,0,51802.98828,9.124087334,3.570587873,,,,,,,,,,,,,,,,,,,,
2010,1,2,15,0,53273.41406,10,3.617387295,,,,,,,,,,,,,,,,,,,,
2010,1,2,16,0,53979.28516,10,3.639980316,,,,,,,,,,,,,,,,,,,,
2010,1,2,17,0,53460.21094,10,3.613119125,,,,,,,,,,,,,,,,,,,,
2010,1,2,18,0,51865.57422,10,3.539978743,,,,,,,,,,,,,,,,,,,,
2010,1,2,19,0,50031.95703,10,3.452870607,,,,,,,,,,,,,,,,,,,,
2010,1,2,20,0,48925.07813,10,3.403486967,,,,,,,,,,,,,,,,,,,,
